researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
119 citations*,24 citations*,10 citations*,57 citations*,0 citations*,34 citations*,70 citations*,18 citations*,27 citations*,10 citations*,4 citations*,24 citations*,18 citations*,84 citations*,10 citations*,114 citations*,30 citations* for all,9 citations*,1 citations*,25 citations*,101 citations*,51 citations*,0 citations*,27 citations*,0 citations*,231 citations*,27 citations*,10 citations*,26 citations* for all,28 citations* for all,13 citations*,9 citations*,52 citations*,19 citations*,208 citations*,21 citations*,57 citations*,16 citations*,8 citations*,0 citations*,,2 citations*,5 citations*,1 citations*,0 citations*,88 citations*,12 citations*,5 citations*,85 citations*,11 citations*,15 citations*,15 citations*,14 citations*,9 citations*,1 citations*,103 citations*,0 citations*,417 citations*,58 citations*,925 citations*,5 citations*,15 citations*,77 citations*,,161 citations*,1 citations*,1 citations*,206 citations*,28 citations*,0 citations*,0 citations*,1 citations*,6 citations*,,3 citations*,,73 citations*,1 citations*,3 citations*,10 citations*,65 citations*,2 citations*,3 citations*,17 citations*,0 citations*,1 citations*,23 citations*,0 citations*,1 citations*,0 citations*,3 citations*,,13 citations*,0 citations*,60 citations*,8 citations*,,1 citations*,5 citations*,2 citations*
144 citations*,105 citations*,0 citations*,89 citations*,82 citations*,15 citations*,93 citations*,66 citations*,83 citations*,102 citations*,5 citations*,32 citations*,16 citations*,129 citations*,11 citations*,86 citations*,0 citations*,103 citations*,17 citations*,83 citations*,18 citations*,15 citations*,35 citations*,24 citations*,182 citations*,224 citations*,13 citations*,18 citations*,26 citations*,28 citations*,3 citations*,21 citations*,131 citations*,156 citations*,403 citations*,74 citations*,180 citations*,78 citations*,60 citations*,5 citations*,,4 citations*,8 citations*,0 citations*,0 citations*,76 citations*,9 citations*,1 citations*,2 citations*,0 citations*,11 citations*,14 citations*,30 citations*,2 citations*,3 citations*,10 citations*,6 citations*,0 citations*,196 citations*,"3,530 citations* for all",8 citations*,8 citations*,236 citations*,,157 citations*,1 citations*,1 citations*,101 citations*,29 citations*,0 citations*,0 citations*,6 citations*,7 citations*,,6 citations*,,56 citations*,1 citations*,3 citations*,17 citations*,36 citations*,96 citations*,5 citations*,11 citations*,0 citations*,1 citations*,24 citations*,0 citations*,1 citations*,0 citations*,9 citations* for all,,1 citations*,0 citations*,13 citations*,14 citations*,,2 citations*,1 citations*,19 citations*
98 citations*,71 citations*,7 citations*,13 citations*,0 citations*,127 citations*,5 citations*,19 citations* for all,105 citations*,81 citations*,22 citations*,24 citations*,11 citations*,84 citations* for all,10 citations*,100 citations*,30 citations*,3 citations*,5 citations*,123 citations*,28 citations*,14 citations*,218 citations*,28 citations*,142 citations*,124 citations*,31 citations*,7 citations*,0 citations*,0 citations*,53 citations*,18 citations*,16 citations*,11 citations*,163 citations*,21 citations*,23 citations*,13 citations*,24 citations*,2 citations*,,2 citations*,2 citations*,18 citations*,4 citations*,9 citations*,16 citations*,6 citations*,71 citations*,0 citations*,10 citations*,8 citations*,61 citations*,4 citations*,2 citations*,29 citations*,0 citations*,218 citations*,54 citations*,63 citations*,5 citations*,8 citations*,222 citations*,,179 citations*,5 citations*,0 citations*,181 citations*,5 citations*,0 citations*,0 citations*,3 citations*,9 citations*,,6 citations*,,114 citations*,0 citations*,5 citations*,16 citations*,25 citations*,17 citations*,4 citations*,17 citations*,0 citations*,1 citations*,26 citations*,0 citations*,1 citations*,0 citations*,6 citations*,,5 citations*,0 citations*,18 citations*,4 citations*,,5 citations*,3 citations*,5 citations*
203 citations*,28 citations*,15 citations*,21 citations*,113 citations* for all,62 citations*,3 citations*,19 citations*,21 citations*,118 citations*,23 citations*,12 citations*,11 citations*,83 citations*,15 citations*,171 citations*,21 citations* for all,26 citations*,31 citations*,13 citations*,56 citations*,14 citations*,78 citations*,1 citations*,171 citations* for all,320 citations*,10 citations*,15 citations*,9 citations*,120 citations*,5 citations*,5 citations*,14 citations*,80 citations*,132 citations*,67 citations*,4 citations*,10 citations*,88 citations*,3 citations*,,5 citations*,1 citations*,0 citations*,62 citations*,11 citations*,16 citations*,0 citations*,1 citations*,6 citations*,57 citations*,15 citations*,75 citations*,56 citations*,6 citations*,7 citations*,21 citations*,846 citations* for all,75 citations*,668 citations*,7 citations*,1 citations*,23 citations*,,149 citations*,5 citations*,0 citations*,90 citations*,6 citations*,0 citations*,0 citations*,3 citations*,14 citations*,,2 citations*,,61 citations* for all,1 citations*,2 citations*,16 citations*,57 citations*,13 citations*,5 citations*,11 citations*,0 citations*,0 citations*,12 citations*,0 citations*,1 citations*,0 citations*,3 citations*,,12 citations*,0 citations*,63 citations*,20 citations*,,3 citations*,5 citations*,50 citations*
360 citations*,70 citations*,6 citations* for all,18 citations*,103 citations*,86 citations*,69 citations*,0 citations*,71 citations*,199 citations*,22 citations*,23 citations*,27 citations*,1 citations*,6 citations*,67 citations*,21 citations*,66 citations*,0 citations*,9 citations*,66 citations*,21 citations*,64 citations*,20 citations*,171 citations*,103 citations*,27 citations*,21 citations*,119 citations*,82 citations* for all,13 citations*,10 citations*,16 citations*,18 citations*,236 citations*,25 citations*,25 citations*,66 citations*,3 citations*,1 citations*,,5 citations*,1 citations*,9 citations*,17 citations*,9 citations*,10 citations*,0 citations*,94 citations*,0 citations*,5 citations*,13 citations*,20 citations*,19 citations*,3 citations*,21 citations*,1 citations*,846 citations*,84 citations*,925 citations*,5 citations*,3 citations*,189 citations*,,80 citations*,4 citations*,0 citations*,19 citations*,12 citations*,0 citations*,0 citations*,6 citations*,5 citations*,,3 citations*,,61 citations*,2 citations*,8 citations*,22 citations*,151 citations*,14 citations*,0 citations*,0 citations*,0 citations*,0 citations*,16 citations*,,0 citations*,0 citations*,5 citations*,,14 citations*,0 citations*,61 citations*,4 citations*,,2 citations*,0 citations*,11 citations* for all
102 citations*,93 citations*,6 citations*,20 citations*,10 citations*,7 citations*,11 citations*,218 citations*,53 citations*,69 citations*,24 citations*,17 citations*,13 citations*,57 citations* for all,7 citations*,117 citations*,0 citations*,23 citations*,54 citations*,187 citations*,12 citations*,5 citations*,90 citations*,79 citations*,0 citations*,53 citations*,26 citations*,8 citations*,62 citations*,81 citations*,3 citations*,11 citations*,22 citations*,4 citations*,294 citations*,60 citations*,8 citations*,9 citations*,78 citations*,3 citations*,,9 citations*,1 citations*,5 citations*,2 citations*,15 citations*,11 citations*,3 citations*,9 citations*,5 citations*,3 citations*,12 citations*,59 citations*,2 citations*,9 citations*,7 citations*,26 citations*,0 citations*,56 citations*,"1,218 citations*",14 citations*,1 citations*,358 citations*,,92 citations*,6 citations*,0 citations*,25 citations*,15 citations*,0 citations*,0 citations*,10 citations*,6 citations* for all,,5 citations*,,0 citations*,5 citations*,5 citations*,16 citations*,23 citations*,12 citations* for all,3 citations*,25 citations*,,0 citations*,17 citations*,,0 citations*,0 citations*,0 citations*,,6 citations*,0 citations*,20 citations*,13 citations*,,2 citations*,0 citations*,10 citations*
184 citations*,61 citations*,0 citations*,64 citations*,1 citations*,64 citations*,19 citations*,75 citations*,80 citations*,9 citations*,66 citations*,20 citations*,8 citations*,55 citations*,8 citations*,93 citations*,32 citations*,27 citations*,3 citations*,16 citations*,10 citations*,10 citations*,137 citations*,98 citations*,190 citations*,213 citations*,86 citations*,7 citations*,2 citations*,1 citations*,1 citations*,27 citations*,12 citations*,72 citations*,381 citations*,26 citations*,81 citations*,12 citations*,1 citations*,4 citations*,,13 citations*,1 citations*,0 citations*,6 citations*,5 citations*,19 citations*,0 citations*,62 citations*,0 citations*,81 citations*,7 citations*,23 citations*,16 citations*,3 citations*,0 citations*,0 citations*,146 citations*,74 citations*,761 citations*,6 citations*,8 citations*,129 citations*,,0 citations*,7 citations*,0 citations*,2 citations*,21 citations*,0 citations*,0 citations*,5 citations*,6 citations*,,7 citations*,,54 citations*,8 citations*,1 citations*,19 citations*,29 citations*,12 citations*,6 citations*,9 citations*,,0 citations*,11 citations*,,0 citations*,0 citations*,66 citations*,,12 citations*,0 citations*,57 citations*,8 citations*,,20 citations*,4 citations*,1 citations*
99 citations*,85 citations*,2 citations*,13 citations*,8 citations*,69 citations*,10 citations*,7 citations*,28 citations*,12 citations*,24 citations*,84 citations*,4 citations*,2 citations*,2 citations*,71 citations*,74 citations*,66 citations*,7 citations*,59 citations*,3 citations*,10 citations*,480 citations*,56 citations*,142 citations*,113 citations*,0 citations* for all,5 citations*,19 citations*,17 citations* for all,4 citations*,5 citations*,12 citations*,17 citations*,144 citations*,32 citations*,1 citations*,15 citations*,1 citations*,2 citations*,,4 citations*,3 citations*,9 citations*,1 citations*,15 citations*,33 citations*,0 citations*,1 citations*,1 citations*,73 citations*,14 citations*,21 citations*,7 citations*,4 citations*,18 citations*,29 citations*,574 citations* for all,31 citations*,293 citations*,2 citations*,8 citations*,92 citations*,,2 citations*,4 citations*,0 citations*,68 citations*,23 citations*,0 citations*,0 citations*,1 citations*,0 citations*,,3 citations*,,528 citations*,6 citations*,1 citations*,5 citations*,11 citations*,0 citations*,4 citations*,32 citations*,,0 citations*,23 citations*,,0 citations*,0 citations*,11 citations*,,4 citations*,0 citations*,26 citations*,7 citations*,,2 citations*,10 citations*,10 citations*
105 citations*,19 citations*,27 citations*,181 citations*,11 citations*,33 citations*,20 citations*,17 citations*,55 citations*,84 citations*,21 citations*,10 citations*,6 citations*,116 citations*,12 citations*,86 citations*,11 citations* for all,3 citations*,8 citations*,7 citations*,59 citations*,16 citations*,18 citations*,217 citations*,13 citations*,169 citations*,0 citations*,1 citations*,96 citations*,16 citations*,10 citations*,30 citations*,19 citations*,63 citations*,179 citations*,161 citations*,5 citations*,5 citations*,14 citations*,54 citations*,,0 citations*,2 citations*,3 citations*,23 citations*,7 citations*,25 citations*,0 citations*,64 citations*,84 citations*,10 citations*,8 citations*,28 citations*,4 citations*,3 citations*,7 citations*,18 citations*,574 citations*,30 citations*,580 citations* for all,4 citations*,16 citations*,69 citations*,,122 citations*,8 citations*,0 citations*,17 citations*,5 citations*,,0 citations*,6 citations*,6 citations*,,17 citations*,,459 citations*,3 citations*,1 citations*,9 citations*,24 citations*,8 citations* for all,5 citations*,10 citations*,,,22 citations*,,0 citations*,0 citations*,16 citations*,,6 citations*,0 citations*,9 citations*,5 citations*,,2 citations*,3 citations*,15 citations*
117 citations*,60 citations*,14 citations*,74 citations*,2 citations*,59 citations*,5 citations*,24 citations*,115 citations*,56 citations*,4 citations*,16 citations*,18 citations*,103 citations* for all,6 citations*,67 citations*,11 citations*,1 citations*,9 citations*,9 citations*,4 citations*,7 citations*,452 citations*,19 citations*,142 citations*,177 citations*,0 citations*,3 citations*,14 citations* for all,1 citations*,1 citations*,150 citations*,56 citations*,4 citations*,236 citations*,31 citations*,0 citations*,53 citations*,7 citations*,1 citations*,,0 citations*,1 citations*,1 citations*,13 citations*,1 citations*,71 citations*,0 citations*,13 citations*,0 citations*,10 citations*,12 citations*,26 citations*,0 citations*,6 citations*,11 citations*,5 citations*,0 citations*,60 citations*,1 citations*,12 citations*,0 citations*,207 citations*,,105 citations*,4 citations*,0 citations*,11 citations*,11 citations*,,,6 citations*,6 citations*,,7 citations*,,130 citations*,0 citations*,3 citations*,7 citations*,10 citations* for all,8 citations*,2 citations*,23 citations*,,,104 citations*,,0 citations*,,9 citations*,,4 citations*,0 citations*,108 citations*,8 citations*,,1 citations*,4 citations*,25 citations*
240 citations*,12 citations*,0 citations*,118 citations*,29 citations*,27 citations*,66 citations*,401 citations*,68 citations*,18 citations*,11 citations*,4 citations*,7 citations*,103 citations*,5 citations*,90 citations*,0 citations*,25 citations*,27 citations*,83 citations*,8 citations*,2 citations*,80 citations*,51 citations*,143 citations* for all,4 citations*,0 citations*,11 citations*,14 citations*,58 citations*,8 citations*,161 citations*,27 citations*,70 citations*,378 citations*,26 citations*,11 citations*,61 citations*,74 citations*,5 citations*,,1 citations*,0 citations*,3 citations*,13 citations*,4 citations*,134 citations*,0 citations*,20 citations*,1 citations*,6 citations*,3 citations*,71 citations*,7 citations*,5 citations*,0 citations*,30 citations*,"1,321 citations*",112 citations*,579 citations*,1 citations*,5 citations*,156 citations*,,158 citations*,2 citations*,0 citations*,22 citations*,1 citations*,,,5 citations*,8 citations*,,1 citations*,,97 citations*,7 citations*,1 citations*,7 citations*,10 citations*,0 citations*,2 citations*,32 citations*,,,23 citations*,,0 citations*,,9 citations*,,1 citations*,0 citations*,57 citations*,24 citations*,,1 citations*,12 citations*,13 citations*
128 citations*,9 citations*,0 citations*,54 citations*,11 citations*,66 citations*,11 citations*,28 citations*,26 citations*,18 citations*,5 citations*,27 citations*,10 citations*,0 citations*,13 citations*,124 citations*,23 citations*,12 citations*,2 citations*,15 citations*,134 citations*,23 citations*,27 citations*,5 citations* for all,143 citations*,91 citations*,31 citations*,4 citations*,0 citations*,19 citations*,63 citations*,11 citations*,28 citations*,15 citations*,136 citations*,21 citations*,13 citations*,8 citations*,27 citations*,14 citations*,,1 citations*,0 citations*,0 citations*,7 citations*,0 citations*,87 citations*,,12 citations*,7 citations*,5 citations*,3 citations*,14 citations*,6 citations*,4 citations*,10 citations*,1 citations*,165 citations*,125 citations*,699 citations*,2 citations*,7 citations*,9 citations*,,226 citations*,2 citations*,0 citations*,11 citations*,3 citations*,,,5 citations*,3 citations*,,2 citations*,,66 citations*,6 citations*,4 citations*,13 citations*,0 citations*,9 citations* for all,4 citations*,7 citations*,,,24 citations*,,0 citations*,,1 citations*,,5 citations*,0 citations*,24 citations*,9 citations*,,1 citations*,10 citations*,19 citations*
225 citations*,21 citations*,22 citations*,80 citations*,2 citations*,27 citations*,2 citations*,19 citations*,73 citations*,60 citations*,15 citations*,7 citations*,4 citations*,92 citations* for all,4 citations*,140 citations*,29 citations*,14 citations*,11 citations*,3 citations*,32 citations*,11 citations*,9 citations*,5 citations*,0 citations*,137 citations*,25 citations*,4 citations*,14 citations* for all,80 citations*,1 citations*,8 citations*,17 citations*,10 citations*,214 citations*,4 citations*,59 citations*,5 citations*,17 citations*,2 citations*,,5 citations*,0 citations*,0 citations*,0 citations*,6 citations*,11 citations*,,9 citations*,0 citations*,16 citations*,7 citations*,22 citations*,7 citations*,10 citations*,0 citations*,29 citations*,520 citations*,72 citations*,565 citations*,11 citations*,7 citations*,105 citations*,,91 citations*,9 citations*,,7 citations*,6 citations*,,,11 citations* for all,4 citations*,,2 citations*,,33 citations* for all,11 citations*,7 citations*,22 citations*,6 citations*,9 citations*,1 citations*,22 citations* for all,,,26 citations*,,0 citations*,,1 citations*,,4 citations*,0 citations*,20 citations*,3 citations*,,6 citations*,5 citations*,15 citations*
141 citations*,23 citations*,19 citations*,53 citations*,19 citations*,18 citations*,20 citations*,135 citations*,60 citations*,52 citations*,145 citations*,15 citations*,5 citations*,91 citations*,1 citations*,103 citations*,62 citations*,31 citations*,17 citations*,20 citations*,27 citations*,9 citations*,117 citations*,0 citations*,209 citations*,168 citations*,20 citations*,2 citations*,14 citations*,21 citations*,7 citations*,11 citations*,16 citations*,6 citations*,242 citations*,9 citations*,17 citations*,2 citations*,32 citations*,4 citations*,,1 citations*,0 citations*,0 citations*,24 citations*,1 citations*,21 citations*,,12 citations*,6 citations*,1 citations*,12 citations*,22 citations*,8 citations*,4 citations*,4 citations*,0 citations*,405 citations* for all,8 citations*,823 citations*,0 citations*,6 citations*,106 citations*,,74 citations*,7 citations*,,10 citations*,6 citations*,,,8 citations*,3 citations*,,9 citations*,,33 citations*,13 citations*,2 citations*,12 citations*,19 citations*,0 citations*,3 citations*,22 citations*,,,12 citations*,,1 citations*,,11 citations*,,5 citations*,,16 citations*,11 citations*,,1 citations*,0 citations*,15 citations*
